date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:35:46	76286/76286	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Jun%202022%2000:49:37%20GMT	http://themes247.net/html5/construction-template/demo/home-slider-full-screen.html	C:/Mes%20Sites%20Web/Hermite/themes247.net/html5/construction-template/demo/home-slider-full-screen.html	(from )
15:35:48	0/0	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20May%202023%2015:35:46%20GMT	http://themes247.net/robots.txt		(from )
15:35:48	73437/73437	---M--	200	added ('OK')	text/css	date:Thu,%2016%20Jun%202022%2000:49:36%20GMT	http://themes247.net/html5/construction-template/demo/style.css	C:/Mes%20Sites%20Web/Hermite/themes247.net/html5/construction-template/demo/style.css	(from http://themes247.net/html5/construction-template/demo/home-slider-full-screen.html)
15:35:49	1093/1093	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Jun%202022%2000:49:36%20GMT	http://themes247.net/html5/construction-template/demo/assets/icon/favicon.png	C:/Mes%20Sites%20Web/Hermite/themes247.net/html5/construction-template/demo/assets/icon/favicon.png	(from http://themes247.net/html5/construction-template/demo/home-slider-full-screen.html)
15:35:49	1361/1361	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Jun%202022%2000:49:36%20GMT	http://themes247.net/html5/construction-template/demo/assets/icon/apple-touch-icon-158-precomposed.png	C:/Mes%20Sites%20Web/Hermite/themes247.net/html5/construction-template/demo/assets/icon/apple-touch-icon-158-precomposed.png	(from http://themes247.net/html5/construction-template/demo/home-slider-full-screen.html)
15:35:50	2076/2076	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Jun%202022%2000:49:36%20GMT	http://themes247.net/html5/construction-template/demo/assets/img/logo-light.png	C:/Mes%20Sites%20Web/Hermite/themes247.net/html5/construction-template/demo/assets/img/logo-light.png	(from http://themes247.net/html5/construction-template/demo/home-slider-full-screen.html)
15:35:51	75303/75303	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Jun%202022%2000:49:37%20GMT	http://themes247.net/html5/construction-template/demo/home-slider-simple.html	C:/Mes%20Sites%20Web/Hermite/themes247.net/html5/construction-template/demo/home-slider-simple.html	(from http://themes247.net/html5/construction-template/demo/home-slider-full-screen.html)
15:35:51	66285/66285	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Jun%202022%2000:49:37%20GMT	http://themes247.net/html5/construction-template/demo/home-hero-slideshow.html	C:/Mes%20Sites%20Web/Hermite/themes247.net/html5/construction-template/demo/home-hero-slideshow.html	(from http://themes247.net/html5/construction-template/demo/home-slider-full-screen.html)
15:35:52	64820/64820	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Jun%202022%2000:49:37%20GMT	http://themes247.net/html5/construction-template/demo/home-hero-slideshow-2.html	C:/Mes%20Sites%20Web/Hermite/themes247.net/html5/construction-template/demo/home-hero-slideshow-2.html	(from http://themes247.net/html5/construction-template/demo/home-slider-full-screen.html)
15:35:54	63270/63270	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Jun%202022%2000:49:36%20GMT	http://themes247.net/html5/construction-template/demo/home-header-fixed.html	C:/Mes%20Sites%20Web/Hermite/themes247.net/html5/construction-template/demo/home-header-fixed.html	(from http://themes247.net/html5/construction-template/demo/home-slider-full-screen.html)
15:35:55	72862/72862	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Jun%202022%2000:49:37%20GMT	http://themes247.net/html5/construction-template/demo/home-2-slider-simple.html	C:/Mes%20Sites%20Web/Hermite/themes247.net/html5/construction-template/demo/home-2-slider-simple.html	(from http://themes247.net/html5/construction-template/demo/home-slider-full-screen.html)
15:35:57	63755/63755	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Jun%202022%2000:49:36%20GMT	http://themes247.net/html5/construction-template/demo/home-3-hero-slideshow.html	C:/Mes%20Sites%20Web/Hermite/themes247.net/html5/construction-template/demo/home-3-hero-slideshow.html	(from http://themes247.net/html5/construction-template/demo/home-slider-full-screen.html)
15:35:59	23910/23910	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Jun%202022%2000:49:36%20GMT	http://themes247.net/html5/construction-template/demo/page-contact.html	C:/Mes%20Sites%20Web/Hermite/themes247.net/html5/construction-template/demo/page-contact.html	(from http://themes247.net/html5/construction-template/demo/home-slider-full-screen.html)
15:35:59	44846/44846	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Jun%202022%2000:49:36%20GMT	http://themes247.net/html5/construction-template/demo/page-about.html	C:/Mes%20Sites%20Web/Hermite/themes247.net/html5/construction-template/demo/page-about.html	(from http://themes247.net/html5/construction-template/demo/home-slider-full-screen.html)
15:36:00	37731/37731	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Jun%202022%2000:49:36%20GMT	http://themes247.net/html5/construction-template/demo/page-about-2.html	C:/Mes%20Sites%20Web/Hermite/themes247.net/html5/construction-template/demo/page-about-2.html	(from http://themes247.net/html5/construction-template/demo/home-slider-full-screen.html)
15:36:02	25460/25460	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Jun%202022%2000:49:37%20GMT	http://themes247.net/html5/construction-template/demo/page-services.html	C:/Mes%20Sites%20Web/Hermite/themes247.net/html5/construction-template/demo/page-services.html	(from http://themes247.net/html5/construction-template/demo/home-slider-full-screen.html)
15:36:02	33248/33248	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Jun%202022%2000:49:36%20GMT	http://themes247.net/html5/construction-template/demo/page-services-2.html	C:/Mes%20Sites%20Web/Hermite/themes247.net/html5/construction-template/demo/page-services-2.html	(from http://themes247.net/html5/construction-template/demo/home-slider-full-screen.html)
